# Comments start with a hashtag because of how CSV is read,,,,
Organization,Acronym,Website,Keywords,Type
Black in Geoscience,,https://blackingeoscience.org/,"geoscience, Black",Organization
Black in Gerontology & Geriatrics,,https://blackingeron.org/,"medicine, Black",Organization
Black in Marine Science,,https://blackinmarsci.github.io/,"marine science, biology, Black",Organization
Black in Microbiology,,https://blackinmicrobiology.org/,"biology, Black",Organization
Black in Neuro,,https://www.blackinneuro.com/,"neuroscience, Black",Organization
Black in Physics,,https://www.blackinphysics.org/,"physics, Black",Organization
Black in Physiology,,https://blackinphysiology.com/,"medicine, biology, Black",Organization
Black in Robotics,,https://blackinrobotics.org/,"robotics, Black",Organization
Black in Science Communication,,https://www.blackinscicomm.com/,"science communication, Black",Organization
# Fix From Here,,,,Organization
Black in Stem Education,,http://www.blackinstemed.org/,"Black, education",Organization
Black in the Ivory,,https://blackintheivory.net/,Black,Organization
Black Mammalogists,,https://blackmammalogists.com/,"biology, Black",Organization
Black Mental Health Alliance,,https://blackmentalhealth.com/,"psychology, Black, mental health",Organization
Black Women in AI,,https://www.blackwomeninai.com/,"artificial intelligence, Black, women",Organization
Black Women in Technology,,https://blackwomenintech.com/,"technology, Black, women",Organization
Boricua Planeteers,,https://planettreky.com/boricua-planeteers/,,Organization
CASSS - Sharing Science Solutions,,https://www.casss.org/,,Organization
Chemical Institute of Canada,CIC,https://www.cheminst.ca/,,Organization
Chinese Institute of Engineers,,http://www.cie-usa.org/,,Organization
Ciencia Puerto Rico,,https://www.cienciapr.org/en/,,Organization
Científico Latino,,https://www.cientificolatino.com/,,Organization
Color Outside,,https://coloroutside.org/,,Organization
Council on Undergraduate Research,,https://www.cur.org/,,Organization
Diversify Outdoors,,https://www.diversifyoutdoors.com/,,Organization
Ecological Society of America,,https://www.esa.org/,ecology,Organization
Entomological Society of America,,https://www.entsoc.org/,,Organization
Fat Girls Hiking,,https://fatgirlshiking.com/,,Organization
Federation of American Societies for Experimental Biology,,https://www.faseb.org/,,Organization
GeoLatinas,,https://geolatinas.weebly.com/,"geoscience, women, Latinx",Organization
Geological Society of America,GSA,https://www.geosociety.org/,geoscience,Organization
Health Professionals Advancing LGBTQ Equality,GLMA,http://www.glma.org/,"medicine, LGBTQ",Organization
Institute of Electrical and Electronics Engineers,IEEE,https://www.ieee.org/,engineering,Organization
IEEE Computer Society,,https://www.computer.org/,,Organization
Infectious Diseases Society of America,IDSA,https://www.idsociety.org/,,Organization
Institute for Operations Research and the Management Sciences,INFORMS,https://www.informs.org/,,Organization
International Association for Geoscience Diversity,IAGD,https://theiagd.org/,,Organization
International Society of Nonbinary Scientists,ISNBS,https://isnbs.org/,,Organization
Iota Sigma Pi,,https://www.iotasigmapi.org/,"chemistry, women, honors",Organization
Japanese Medical Society of America,,https://www.jmsa.org/,,Organization
Latinas in STEM,,http://www.latinasinstem.com/,"Latinx, women",Organization
Latino Medical Student Association,LMSA,https://national.lmsa.net/,"medicine, Latinx, students",Organization
Latino Surgical Society,,https://www.latinosurgicalsociety.org/,"medicine, Latinx",Organization
LatinxHikers,,https://www.latinxhikers.com/,Latinx,Organization
LGBTAstro,,https://twitter.com/lgbtastro,"astronomy, LGBTQ",Organization
Materials Research Society,,https://www.mrs.org/,materials,Organization
Medical Students for Choice,,https://msfc.org/,"medicine, students",Organization
Medical Student Pride Alliance,,https://www.medpride.org/,"medicine, LGBTQ, students",Organization
National Action Council for Minorities in Engineering,NACME,https://www.nacme.org/,,Organization
National Association of Biology Teachers,NABT,https://nabt.org/,"biology, education",Organization
National Association of Black Geoscientists,NABG,http://www.nabg-us.org/,"geoscience, Black",Organization
